"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 06:50:00";"2";"0";"88";"1,92";"8388608";"1379926";"16,45";"0";"7";"64";"44";"18"
"05.11.2015 06:55:00";"2";"0";"77";"1,7";"8388608";"1061159";"12,65";"0";"7";"64";"6";"6"
"05.11.2015 07:00:00";"2";"0";"85";"1,87";"8388608";"1050254";"12,52";"0";"6";"64";"44";"18"
"05.11.2015 07:05:00";"2";"0";"77";"1,69";"8388608";"960496";"11,45";"0";"6";"64";"6";"6"
"05.11.2015 07:10:00";"2";"0";"88";"1,92";"8388608";"1056126";"12,59";"0";"6";"64";"44";"18"
"05.11.2015 07:15:00";"2";"0";"76";"1,66";"8388608";"1033476";"12,32";"0";"6";"64";"6";"6"
"05.11.2015 07:20:00";"2";"0";"87";"1,91";"8388608";"854799";"10,19";"0";"7";"64";"43";"18"
"05.11.2015 07:25:00";"2";"0";"78";"1,72";"8388608";"1022571";"12,19";"0";"7";"64";"6";"6"
"05.11.2015 07:30:00";"2";"0";"87";"1,89";"8388608";"960496";"11,45";"0";"7";"64";"44";"18"
"05.11.2015 07:35:00";"2";"0";"77";"1,69";"8388608";"1173566";"13,99";"0";"7";"64";"6";"6"
"05.11.2015 07:40:00";"2";"0";"90";"1,96";"8388608";"938685";"11,19";"0";"7";"64";"44";"18"
"05.11.2015 07:45:00";"2";"0";"91";"1,99";"8388608";"1201249";"14,32";"0";"7";"64";"15";"13"
"05.11.2015 07:50:00";"2";"0";"91";"1,98";"8388608";"1240675";"14,79";"0";"7";"64";"66";"39"
"05.11.2015 07:55:00";"2";"0";"84";"1,85";"8388608";"798596";"9,52";"0";"7";"64";"37";"30"
"05.11.2015 08:00:00";"2";"0";"86";"1,89";"8388608";"882482";"10,52";"0";"6";"64";"44";"18"
"05.11.2015 08:05:00";"2";"0";"79";"1,73";"8388608";"1207121";"14,39";"0";"8";"64";"14";"13"
"05.11.2015 08:10:00";"2";"0";"88";"1,93";"8388608";"1140012";"13,59";"0";"8";"64";"43";"18"
"05.11.2015 08:15:00";"2";"0";"74";"1,63";"8388608";"1100585";"13,12";"0";"7";"64";"6";"6"
"05.11.2015 08:20:00";"2";"0";"92";"2,02";"8388608";"1050254";"12,52";"0";"7";"64";"59";"32"
"05.11.2015 08:25:00";"2";"0";"82";"1,8";"8388608";"938685";"11,19";"0";"8";"64";"11";"9"
"05.11.2015 08:30:00";"2";"0";"88";"1,92";"8388608";"972240";"11,59";"0";"8";"64";"46";"20"
"05.11.2015 08:35:00";"2";"0";"79";"1,72";"8388608";"871576";"10,39";"0";"7";"64";"6";"6"
"05.11.2015 08:40:00";"2";"0";"88";"1,92";"8388608";"999922";"11,92";"0";"7";"64";"43";"18"
"05.11.2015 08:45:00";"2";"0";"89";"1,94";"8388608";"1559442";"18,59";"0";"7";"64";"6";"6"
"05.11.2015 08:50:00";"2";"0";"87";"1,91";"8388608";"1631584";"19,45";"0";"8";"64";"44";"18"
"05.11.2015 08:55:00";"2";"0";"78";"1,71";"8388608";"949590";"11,32";"0";"7";"64";"6";"6"
"05.11.2015 09:00:00";"2";"0";"89";"1,95";"8388608";"1050254";"12,52";"0";"8";"64";"52";"21"
"05.11.2015 09:05:00";"2";"0";"77";"1,69";"8388608";"1010827";"12,05";"0";"8";"64";"6";"6"
"05.11.2015 09:10:00";"2";"0";"89";"1,95";"8388608";"1016699";"12,12";"0";"8";"64";"44";"18"
"05.11.2015 09:15:00";"2";"0";"76";"1,67";"8388608";"989017";"11,79";"0";"7";"64";"7";"6"
"05.11.2015 09:20:00";"2";"0";"88";"1,91";"8388608";"932813";"11,12";"0";"7";"64";"43";"18"
"05.11.2015 09:25:00";"2";"0";"80";"1,75";"8388608";"910164";"10,85";"0";"7";"64";"8";"7"
"05.11.2015 09:30:00";"2";"0";"88";"1,92";"8388608";"1022571";"12,19";"0";"6";"64";"44";"18"
"05.11.2015 09:35:00";"2";"0";"80";"1,75";"8388608";"1083808";"12,92";"0";"19";"64";"20";"7"
"05.11.2015 09:40:00";"2";"0";"99";"2,16";"8388608";"893387";"10,65";"0";"10";"64";"45";"21"
"05.11.2015 09:45:00";"2";"0";"89";"1,95";"8388608";"1530921";"18,25";"0";"7";"64";"6";"6"
"05.11.2015 09:50:00";"2";"0";"89";"1,96";"8388608";"1312817";"15,65";"0";"8";"64";"44";"18"
"05.11.2015 09:55:00";"2";"0";"80";"1,75";"8388608";"972240";"11,59";"0";"8";"64";"6";"6"
"05.11.2015 10:00:00";"2";"0";"85";"1,86";"8388608";"1072903";"12,79";"0";"8";"64";"44";"18"
"05.11.2015 10:05:00";"2";"0";"163";"3,56";"8388608";"943718";"11,25";"0";"13";"64";"92";"35"
"05.11.2015 10:10:00";"2";"0";"1722";"37,5";"8388608";"1849688";"22,05";"0";"523";"64";"8";"7"
"05.11.2015 10:15:00";"2";"0";"284";"6,19";"8388608";"2224659";"26,52";"0";"96";"64";"219";"23"
"05.11.2015 10:20:00";"2";"0";"85";"1,87";"8388608";"1413480";"16,85";"0";"8";"64";"7";"6"
"05.11.2015 10:25:00";"2";"0";"97";"2,12";"8388608";"916036";"10,92";"0";"7";"64";"44";"18"
"05.11.2015 10:30:00";"2";"0";"82";"1,79";"8388608";"921908";"10,99";"0";"8";"64";"6";"6"
"05.11.2015 10:35:00";"2";"0";"99";"2,17";"8388608";"1027604";"12,25";"0";"8";"64";"44";"18"
"05.11.2015 10:40:00";"2";"0";"82";"1,8";"8388608";"1274230";"15,19";"0";"7";"64";"7";"6"
"05.11.2015 10:45:00";"2";"0";"95";"2,07";"8388608";"977273";"11,65";"0";"7";"64";"43";"18"
"05.11.2015 10:50:00";"2";"0";"83";"1,81";"8388608";"1005794";"11,99";"0";"7";"64";"6";"6"
"05.11.2015 10:55:00";"2";"0";"96";"2,1";"8388608";"1044382";"12,45";"0";"8";"64";"44";"18"
"05.11.2015 11:00:00";"2";"0";"81";"1,78";"8388608";"1089680";"12,99";"0";"8";"64";"6";"6"
"05.11.2015 11:05:00";"2";"0";"99";"2,16";"8388608";"1072903";"12,79";"0";"8";"64";"45";"22"
"05.11.2015 11:10:00";"2";"0";"142";"3,1";"8388608";"1072903";"12,79";"0";"8";"64";"137";"49"
"05.11.2015 11:15:00";"2";"0";"134";"2,93";"8388608";"1592997";"18,99";"0";"8";"64";"50";"20"
"05.11.2015 11:20:00";"2";"0";"127";"2,78";"8388608";"1173566";"13,99";"0";"9";"64";"344";"331"
"05.11.2015 11:25:00";"2";"0";"94";"2,05";"8388608";"1190343";"14,19";"0";"8";"64";"44";"18"
"05.11.2015 11:30:00";"2";"0";"100";"2,18";"8388608";"972240";"11,59";"0";"7";"64";"173";"167"
"05.11.2015 11:35:00";"2";"0";"93";"2,04";"8388608";"972240";"11,59";"0";"7";"64";"44";"18"
"05.11.2015 11:40:00";"2";"0";"80";"1,75";"8388608";"1022571";"12,19";"0";"7";"64";"8";"7"
"05.11.2015 11:45:00";"2";"0";"100";"2,18";"8388608";"905131";"10,79";"0";"8";"64";"56";"23"
"05.11.2015 11:50:00";"2";"0";"82";"1,8";"8388608";"905131";"10,79";"0";"8";"64";"7";"6"
"05.11.2015 11:55:00";"2";"0";"97";"2,13";"8388608";"921908";"10,99";"0";"8";"64";"44";"18"
"05.11.2015 12:00:00";"2";"0";"79";"1,74";"8388608";"838022";"9,99";"0";"7";"64";"6";"6"
"05.11.2015 12:05:00";"2";"0";"93";"2,03";"8388608";"1039349";"12,39";"0";"8";"64";"44";"18"
"05.11.2015 12:10:00";"2";"0";"126";"2,76";"8388608";"1039349";"12,39";"0";"12";"64";"9";"11"
"05.11.2015 12:15:00";"2";"0";"116";"2,54";"8388608";"1341338";"15,99";"0";"9";"64";"44";"23"
"05.11.2015 12:20:00";"2";"0";"83";"1,81";"8388608";"1089680";"12,99";"0";"8";"64";"7";"7"
"05.11.2015 12:25:00";"2";"0";"94";"2,06";"8388608";"1039349";"12,39";"0";"8";"64";"45";"18"
